==============================================================================
  Time (s)    DT (s)  CV  NIT Max Residual    Fluid      Elapsed      Left    
      0.1612  0.42E-03  C  17 V1=0.73E-03     0.11s      35.29s       1.21h   
      0.1616  0.42E-03  C  18 V1=0.77E-03     0.12s      35.41s       1.21h   
      0.1621  0.42E-03  C  19 V1=0.74E-03     0.12s      35.53s       1.21h   
      0.1625  0.42E-03  C  19 V1=0.79E-03     0.13s      35.66s       1.21h   
      0.1629  0.42E-03  C  19 V1=0.82E-03     0.12s      35.78s       1.21h   
      0.1633  0.38E-03  C  19 V1=0.84E-03     0.13s      35.91s       1.21h   
      0.1637  0.38E-03  C  19 V1=0.79E-03     0.13s      36.04s       1.22h   
      0.1641  0.38E-03  C  19 V1=0.78E-03     0.13s      36.16s       1.22h   
      0.1644  0.38E-03  C  19 V1=0.77E-03     0.13s      36.29s       1.22h   
      0.1648  0.38E-03  C  19 V1=0.76E-03     0.13s      36.41s       1.22h   
      0.1652  0.38E-03  C  19 V1=0.75E-03     0.12s      36.54s       1.22h   
      0.1656  0.42E-03  C  19 V1=0.74E-03     0.12s      36.66s       1.22h   
      0.1660  0.42E-03  C  19 V1=0.76E-03     0.13s      36.79s       1.22h   
      0.1664  0.42E-03  C  19 V1=0.73E-03     0.13s      36.91s       1.23h   
      0.1668  0.42E-03  C  18 V1=0.85E-03     0.12s      37.04s       1.23h   
      0.1672  0.42E-03  C  18 V1=0.82E-03     0.12s      37.16s       1.23h   
      0.1677  0.42E-03  C  18 V1=0.78E-03     0.12s      37.28s       1.23h   
      0.1681  0.46E-03  C  18 V1=0.75E-03     0.12s      37.40s       1.23h   
      0.1685  0.46E-03  C  18 V1=0.75E-03     0.12s      37.52s       1.23h   
      0.1690  0.46E-03  C  18 V1=0.72E-03     0.12s      37.64s       1.23h   
      0.1695  0.46E-03  C  17 V1=0.82E-03     0.11s      37.75s       1.23h   
